title,overview,popularity,vote_count,original_language,vote_average,release_date
Weekend at Bernie's,"Two young insurance corporation employees try to pretend that their murdered employer is alive by puppeteering his dead body, leading a hitman to attempt to track him down to finish him off.",1.986,1042,en,6.385,1989-07-05
That Abandoned Place,"Suffering from isolation after a failed suicide attempt, April Egloff is on an existential journey to find a higher reason to live. Staring Jenny Hutton. Director Gigi Hozimah.",0.8305,0,en,0.0,2021-07-10
The Petrichor,"Maya is a former figure skater who, due to personal tragedy, fails her first two attempts at senior international competition. Inspired by her skating idol, Igor Rusky, she decides at the age of thirty, to get back on the ice and pursue her dream of competing once more. As she starts skating again, she is overcome with the painful memories of her past and develops a unique form of visualization, placing Igor Rusky into her old memories to replace pain with inspiration and giving her a chance to pursue her dreams.",1.1567,0,en,0.0,2020-10-02
The Desperate Hour,A woman desperately races to save her child after police place her hometown on lockdown due to an active shooter incident.,2.3114,450,en,6.0,2021-09-12
The Party at Kitty and Stud's,"Kitty and Stud are lovers. They enjoy a robust sex-life, which includes fellatio and light S&M, specifically, Stud belt-whipping Kitty. Three women come over for a party and Stud services them, one after the other.",2.8393,72,en,3.8,1970-02-10
Hidalgo,"Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...",1.9321,1237,en,6.882,2004-02-04
Re:Zero - Starting Life in Another World The Frozen Bond,"Covered in ice and snow, Elior Forest is the home to dangerous magical beasts and 50 elves frozen in ice. One day, the great spirit Puck helps a young girl break out of her ice prison. Her name is Emilia, a half-elf born with silver hair, long ears, and amethyst eyes—features that resemble the evil Witch who destroyed half the world long ago.  Shunned by society because of her appearance, Emilia dwells in the forest with Puck as her sole companion and family. Burdened with a sin of destruction she does not remember committing, she spends her days trying to find a way to help her frozen kin. But when the great spirit Melakuera, the Arbitrator of the world, finds Emilia, her right to stay alive is brought into question. Will the bonds of ice she formed with Puck prove to be the warm thread that defies fate?",2.0083,187,ja,7.4,2019-11-08
A Little Princess,"When her father enlists to fight for the British in WWI, young Sara Crewe goes to New York to attend the same boarding school her late mother attended. She soon clashes with the severe headmistress, Miss Minchin, who attempts to stifle Sara's creativity and sense of self-worth.",2.0087,983,en,7.6,1995-05-10
Johnny Mnemonic,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1.9695,1389,en,5.8,1995-05-26
Voyeur,"Inspired by true events, two student actresses at Yale delve into dark competition in staging Strindberg's Miss Julie, pushing the envelope of Naturalist authenticity until they lose sight of reality. ""Voyeur"" explores the extremes of self-inflicted student perfectionism at an elite college through the lens of a dark comedy, asking the questions: How far will one go to reach authenticity? Can the theatre ever disappear completely and become life itself?",1.1524,0,en,0.0,2019-05-17
All Souls,"A young confidential informant is sent on a dangerous undercover operation. It's a no-holds-barred look at the vulnerable foot soldiers of the War on Drugs, young criminals who are pressured to work for the police.",2.5276,34,en,6.6,2023-12-08
Richard the Stork and the Mystery of the Great Jewel,"Richard, a sparrow adopted by a stork family, is wintering at the Great Lake in Northern Africa. When he realises that he won’t be the one to lead his flock back North, Richard decides to travel on his own and crosses paths with Samia and her sparrow flock, who are being held captive by evil marabous under the control of greedy peacock Zamano. The only chance of freedom for the sparrows is to solve a riddle and find the Great Jewel, which will call upon teamwork, trust and most of all- spork (sparrow + stork) skills.",3.1404,9,en,6.7,2023-03-23
The Seven Deadly Sins: Cursed by Light,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",2.2816,488,ja,7.719,2021-07-02
My Best Friend's Wedding,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",2.1237,2701,en,6.589,1997-06-19
Inside,"Scarred for life after a harrowing near-death experience, emotionally fragile mother-to-be Sarah is still struggling to come to terms with her loss. Overcome with silent grief, Sarah now seeks solace in work; however, she is on a collision course with sheer terror when a knock at the door in the dead of night chills her bones to the marrow. Now, the raven-haired, late-night visitor in black wants something precious from Sarah, and will stop at nothing to get it.",1.7486,840,fr,6.743,2007-06-13
Wave of Cinema: Nanti Kita Cerita Tentang Hari Ini,"Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma.",0.8998,0,id,0.0,2020-09-25
Boarding House 2,"Joon-hyeok is preparing to pass the exam for 9th rank government worker. Since it is his third attempt, he must pass the exam for sure this time. He becomes to live in a boarding house, which is a part of his father’s extraordinary measures to help his son studying. But what has been waiting for Joon-hyeok in the luxurious house was not the thick text books, but the two free-spirited women. Joon-hyeok begins his cohabitation with Ah-jeong, the owner of the boarding house, who is full of voluptuous beauty, and Dal-lae, a nurse, who exudes sex appeal from both her face and body. Since then, Joon-hyeok starts to spend every night to study women not his books.",2.1013,4,ko,7.2,2016-01-07
Vantage Point,"During an historic counter-terrorism summit in Spain, the President of the United States is struck down by an assassin's bullet. Eight strangers have a perfect view of the kill, but what did they really see? As the minutes leading up to the fatal shot are replayed through the eyes of each eyewitness, the reality of the assassination takes shape.",2.1766,2042,en,6.4,2008-02-01
The Locksmith,"A thief fresh out of prison, tries to work his way back into the life of his daughter and ex-fiancé. Determined, he is forced to use the skills he has as a gifted locksmith. Things take a tumultuous turn after an unexpected disappearance.",2.1115,76,en,5.9,2023-02-03
Tomorrow,The story narrates the story of a girl who has a passion for photography and travels with her mom to a photography trip that happens on the trip.,1.1026,0,fa,0.0,2015-06-06
Pokémon Heroes,"Ash, Pikachu and the gang try and stop a pair of thieves hiding out in the canals and alleyways of Altomare, the age-old water capital. Joining the adventure are two new legendary Pokémon, a pair of siblings named Latias and Latios, who serve as peacekeepers and protectors of the Soul Dew — a priceless treasure with a mysterious power.",2.0348,351,ja,6.7,2002-07-13
